year,country,scale
1905,Mongolia,8.0
1905,Mongolia,8.5
1906,Ecuador,8.6
1906,UnitedStatesofAmerica,7.7
1906,UnitedStatesofAmerica,8.4
1906,Chile,8.2
1917,Samoa,8.0
1918,RussianFederation,7.4
1918,Philippines,7.2
1918,China,7.2
1918,China,7.0
1918,UnitedStatesofAmerica,6.6
1918,Chile,7.6
1918,PapuaNewGuinea,6.5
1918,Mexico,6.6
1918,PapuaNewGuinea,7.2
1918,Bangladesh,7.5
1918,Philippines,8.2
1918,Philippines,6.9
1918,RussianFederation,7.6
1918,Indonesia,6.6
1918,France,6.6
1918,UnitedStatesofAmerica,7.3
1918,Tonga,6.6
1918,PapuaNewGuinea,7.2
1918,Indonesia,7.5
1918,Indonesia,7.1
1918,Canada,6.8
1919,Philippines,7.1
1919,Fiji,7.7
1919,Chile,7.2
1919,NewZealand,6.9
1919,Guatemala,6.9
1919,Tonga,8.2
1919,PapuaNewGuinea,7.6
1919,Japan,7.1
1919,Tanzania,6.6
1919,Fiji,7.0
1919,Indonesia,7.0
1919,Vanuatu,7.3
1919,Vanuatu,6.8
1919,Taiwan,7.0
1920,PapuaNewGuinea,7.6
1920,Mexico,6.6
1920,Japan,6.6
1920,SolomonIslands,6.6
1920,Taiwan,7.9
1920,Indonesia,6.6
1920,Argentina,6.6
1920,SolomonIslands,6.6
1920,Vanuatu,7.8
1920,RussianFederation,7.1
1920,China,8.0
1921,Guatemala,7.4
1921,Indonesia,6.6
1921,Tonga,7.1
1921,Honduras,7.2
1921,Indonesia,6.6
1921,Indonesia,6.6
1921,Afghanistan,6.6
1921,NewZealand,6.6
1921,Japan,7.4
1921,SouthGeorgiaandtheSouthSandwichIslands,7.0
1921,Vanuatu,6.8
1921,Chile,7.2
1921,Philippines,7.3
1921,Afghanistan,7.6
1921,Peru,7.5
1922,Brazil,7.4
1922,UnitedStatesofAmerica,7.2
1922,RussianFederation,7.1
1922,Fiji,6.6
1922,Bolivia,7.1
1922,Philippines,6.6
1922,Mexico,6.6
1922,Bolivia,6.6
1922,Greece,6.6
1922,RussianFederation,6.6
1922,Taiwan,7.5
1922,Brazil,6.7
1922,Japan,7.1
1922,Peru,7.6
1922,RussianFederation,7.3
1922,Chile,7.1
1922,Chile,8.7
1922,Afghanistan,7.3
1922,RussianFederation,7.0
1923,UnitedStatesofAmerica,7.1
1923,Vanuatu,6.7
1923,RussianFederation,7.1
1923,RussianFederation,8.5
1923,Indonesia,6.6
1923,RussianFederation,7.2
1923,Philippines,7.1
1923,Philippines,7.0
1923,China,7.2
1923,RussianFederation,7.1
1923,Indonesia,6.9
1923,UnitedStatesofAmerica,7.1
1923,Chile,6.7
1923,Japan,7.1
1923,Myanmar,7.2
1923,Japan,7.1
1923,Greece,6.5
1923,Japan,6.6
1923,Japan,7.9
1923,Japan,7.6
1923,Bolivia,6.8
1923,Bangladesh,7.1
1923,Iran,6.7
1923,Indonesia,7.2
1923,PapuaNewGuinea,7.2
1923,PapuaNewGuinea,6.9
1923,Japan,7.1
1924,Fiji,7.0
1924,CostaRica,7.0
1924,Indonesia,6.6
1924,Peru,6.6
1924,RussianFederation,6.9
1924,Philippines,8.2
1924,Fiji,7.2
1924,Philippines,7.0
1924,RussianFederation,7.0
1924,RussianFederation,7.2
1924,China,7.1
1924,Panama,6.6
1924,China,7.1
1924,KyrgyzRepublic,6.6
1924,Indonesia,6.6
1924,NewZealand,6.6
1924,Japan,7.0
1924,Philippines,7.2
1924,Turkey,6.6
1924,Afghanistan,7.2
1924,Colombia,6.6
1924,RussianFederation,7.0
1924,RussianFederation,7.0
1925,RussianFederation,7.2
1925,China,7.0
1925,Vanuatu,7.1
1925,Taiwan,7.1
1925,Japan,6.6
1925,Indonesia,7.1
1925,Philippines,6.6
1925,Chile,7.1
1925,Japan,6.6
1925,Indonesia,7.0
1925,Colombia,6.6
1925,PapuaNewGuinea,7.0
1925,Ecuador,6.6
1925,UnitedStatesofAmerica,6.6
1925,AntiguaandBarbuda,6.6
1925,Mexico,6.6
1925,RussianFederation,7.0
1925,Nicaragua,6.6
1925,Indonesia,7.2
1925,Philippines,7.2
1925,LaoPeople'sDemocraticRepublic,6.6
1926,SolomonIslands,7.2
1926,Colombia,6.7
1926,Turkey,6.7
1926,SolomonIslands,7.1
1926,Japan,6.7
1926,SolomonIslands,7.2
1926,Chile,7.1
