year,apple
1800,8.56924858184e-06
1801,8.51927827483e-06
1802,9.330156954e-06
1803,9.41971987582e-06
1804,9.31565976477e-06
1805,7.68206039699e-06
1806,7.74773471335e-06
1807,7.0993827137e-06
1808,7.04337790817e-06
1809,6.15456812625e-06
1810,5.9991897956e-06
1811,5.95224252701e-06
1812,6.06527790836e-06
1813,6.29396589128e-06
1814,6.14075939372e-06
1815,6.66191949961e-06
1816,8.61851090169e-06
1817,8.3549444021e-06
1818,8.99605353647e-06
1819,7.04952003616e-06
1820,7.89345355064e-06
1821,7.58800637257e-06
1822,7.55288499477e-06
1823,7.8714403268e-06
1824,8.5133034986e-06
1825,8.82050776596e-06
1826,7.92758913093e-06
1827,7.16866420566e-06
1828,7.42865238479e-06
1829,7.54924000172e-06
1830,9.60322140979e-06
1831,9.74631913545e-06
1832,1.03951558768e-05
1833,8.31769524604e-06
1834,8.2675000949e-06
1835,7.67939655333e-06
1836,7.17643934796e-06
1837,6.88013504539e-06
1838,7.44869112287e-06
1839,7.91577940499e-06
1840,8.25813907213e-06
1841,8.62663359532e-06
1842,8.16373929524e-06
1843,7.81171971672e-06
1844,6.90177674774e-06
1845,7.36551709698e-06
1846,7.76956353595e-06
1847,8.16097640429e-06
1848,8.89324396525e-06
1849,8.71125810894e-06
1850,9.11850506687e-06
1851,9.04333222707e-06
1852,8.89274913144e-06
1853,8.28380955416e-06
1854,8.2196411455e-06
1855,8.49786497762e-06
1856,9.6666131905e-06
1857,9.1758645316e-06
1858,9.4926455579e-06
1859,8.6713459595e-06
1860,8.5081412872e-06
1861,9.44986409005e-06
1862,1.00688911478e-05
1863,1.03411787317e-05
1864,9.14190879087e-06
1865,8.95753841708e-06
1866,9.96379081168e-06
1867,1.04689704491e-05
1868,1.08537929104e-05
1869,1.07631522373e-05
1870,1.15216705675e-05
1871,1.18640427852e-05
1872,1.13003466401e-05
1873,1.10770568564e-05
1874,1.02258975e-05
1875,1.03676671396e-05
1876,9.25149481645e-06
1877,9.24118474188e-06
1878,9.25544075396e-06
1879,9.52663778738e-06
1880,9.58183725667e-06
1881,9.67258685118e-06
1882,1.03042160002e-05
1883,1.01453546056e-05
1884,1.00495605224e-05
1885,9.67068380694e-06
1886,1.05618829546e-05
1887,1.09994728111e-05
1888,1.1523879536e-05
1889,1.09628569239e-05
1890,1.09718551139e-05
1891,1.10083287552e-05
1892,1.10785660326e-05
1893,1.09017965997e-05
1894,1.07748022344e-05
1895,1.13340928749e-05
1896,1.20034571959e-05
1897,1.23858287443e-05
1898,1.19756041196e-05
1899,1.16308626872e-05
1900,1.17114496874e-05
1901,1.24345166483e-05
1902,1.25676044339e-05
1903,1.2539354401e-05
1904,1.24686761088e-05
1905,1.31192507903e-05
1906,1.30141153534e-05
1907,1.29093155247e-05
1908,1.34565808925e-05
1909,1.4083521909e-05
1910,1.45062052468e-05
1911,1.39349747551e-05
1912,1.43481419788e-05
1913,1.70883109689e-05
1914,1.7365917221e-05
1915,1.74294074261e-05
1916,1.60644001852e-05
1917,1.67356538251e-05
1918,1.68687984209e-05
1919,1.59636410046e-05
1920,1.531459327e-05
1921,1.49070880392e-05
1922,1.47853484217e-05
1923,1.54163676882e-05
1924,1.61573939579e-05
1925,1.60368184368e-05
1926,1.48802091597e-05
1927,1.44009667385e-05
1928,1.51898650766e-05
1929,1.5141995334e-05
1930,1.4690126837e-05
1931,1.40106859021e-05
1932,1.42943482994e-05
1933,1.38208010488e-05
1934,1.31151047261e-05
1935,1.31154212397e-05
1936,1.41367789771e-05
1937,1.41850387223e-05
1938,1.44304021272e-05
1939,1.39700035836e-05
1940,1.4431333426e-05
1941,1.44036488905e-05
1942,1.39233964707e-05
1943,1.37601285672e-05
1944,1.33847129954e-05
1945,1.37056089073e-05
1946,1.41782852789e-05
1947,1.38322825668e-05
1948,1.36609002368e-05
1949,1.26897483976e-05
1950,1.30938463059e-05
1951,1.25122255431e-05
1952,1.19591919325e-05
1953,1.13849940959e-05
1954,1.13492476288e-05
1955,1.11137471303e-05
1956,1.07537987143e-05
1957,1.05321092008e-05
1958,1.05095844087e-05
1959,1.01243593775e-05
1960,9.97803890357e-06
1961,9.75964629409e-06
1962,9.93928866914e-06
1963,9.53880933234e-06
1964,9.16142130336e-06
1965,8.61499163089e-06
1966,8.18003144332e-06
1967,8.49280448278e-06
1968,8.52591512531e-06
1969,8.69841085442e-06
1970,8.64825049263e-06
1971,8.78437253959e-06
1972,9.0394283679e-06
1973,9.03778247145e-06
1974,9.27088392662e-06
1975,9.6535838073e-06
1976,9.99506661969e-06
1977,1.00892817585e-05
1978,1.00521331063e-05
1979,1.06455789819e-05
1980,1.12298529681e-05
1981,1.24052649918e-05
1982,1.37205421235e-05
1983,1.62609961762e-05
1984,1.7913446186e-05
1985,1.85309435399e-05
1986,1.75335940753e-05
1987,1.69169297427e-05
1988,1.64781102683e-05
1989,1.65956433212e-05
1990,1.65251658946e-05
1991,1.71693689595e-05
1992,1.78234216056e-05
1993,1.84702731853e-05
1994,1.82230013005e-05
1995,1.75968022612e-05
1996,1.69218356187e-05
1997,1.64818213809e-05
1998,1.62289483446e-05
1999,1.62049633635e-05
2000,1.61983834488e-05
2001,1.6251279888e-05
2002,1.63830116501e-05
2003,1.68223857363e-05
2004,1.69675428433e-05
2005,1.65489600713e-05
2006,1.59958654251e-05
2007,1.5959940337e-05
2008,1.60996026466e-05
