year,pear
1800,4.23677525951e-06
1801,4.60378955225e-06
1802,5.48125973765e-06
1803,5.65032122068e-06
1804,5.25258905526e-06
1805,4.27500262627e-06
1806,4.16643435959e-06
1807,3.97474610618e-06
1808,3.78927357403e-06
1809,3.42644973964e-06
1810,3.34947271815e-06
1811,3.18369693038e-06
1812,3.30042117014e-06
1813,3.29178557124e-06
1814,3.55138168473e-06
1815,3.72682924284e-06
1816,4.47543530176e-06
1817,4.15918747265e-06
1818,4.21022772793e-06
1819,3.39221283123e-06
1820,3.36315935338e-06
1821,3.29394058814e-06
1822,3.15166127981e-06
1823,3.56562648089e-06
1824,3.7584419393e-06
1825,3.72466228408e-06
1826,3.17194614752e-06
1827,2.99943597308e-06
1828,3.28310299125e-06
1829,3.2201347094e-06
1830,4.05335238796e-06
1831,4.2455846021e-06
1832,4.53689435413e-06
1833,3.51731985286e-06
1834,3.18408001239e-06
1835,2.99897543658e-06
1836,2.82357177224e-06
1837,2.73401962048e-06
1838,2.93722978088e-06
1839,3.1610233305e-06
1840,3.41451801648e-06
1841,3.72568222022e-06
1842,3.41705025283e-06
1843,3.44331384146e-06
1844,3.02586643031e-06
1845,3.29369467285e-06
1846,3.66933854442e-06
1847,3.75963246668e-06
1848,3.82792429813e-06
1849,3.28019447101e-06
1850,3.38124118808e-06
1851,3.34813616594e-06
1852,3.2531488093e-06
1853,2.97954456011e-06
1854,3.0386681118e-06
1855,3.23307444461e-06
1856,3.90013169138e-06
1857,4.34211872384e-06
1858,5.07807432607e-06
1859,4.67970795389e-06
1860,4.16280280054e-06
1861,3.9206196026e-06
1862,4.24715199188e-06
1863,4.07758564573e-06
1864,3.43033983204e-06
1865,3.30042002972e-06
1866,3.67336249359e-06
1867,3.93566934065e-06
1868,4.07143135561e-06
1869,4.23524477829e-06
1870,4.27155531687e-06
1871,4.44219461571e-06
1872,4.21053670626e-06
1873,4.44275545419e-06
1874,3.97401156249e-06
1875,3.85865733676e-06
1876,3.34526739702e-06
1877,3.5984053639e-06
1878,3.61096129531e-06
1879,3.78755217471e-06
1880,3.44099696825e-06
1881,3.31952478897e-06
1882,3.45684869648e-06
1883,3.43216159611e-06
1884,3.67915915334e-06
1885,3.71201937692e-06
1886,3.8553337743e-06
1887,3.8433349836e-06
1888,3.90081270396e-06
1889,3.88470971539e-06
1890,3.77333144878e-06
1891,3.89316762887e-06
1892,3.8411735878e-06
1893,3.85671633948e-06
1894,3.58607469823e-06
1895,4.04952599808e-06
1896,4.36083024743e-06
1897,4.51125305527e-06
1898,3.97804992147e-06
1899,3.76776566569e-06
1900,3.77810235719e-06
1901,4.16164670961e-06
1902,4.10974108789e-06
1903,4.16829528286e-06
1904,3.99713277469e-06
1905,4.0895868428e-06
1906,3.88499504093e-06
1907,3.95281400974e-06
1908,4.48730283864e-06
1909,4.69689661979e-06
1910,4.81742061117e-06
1911,4.17041059938e-06
1912,4.32982015871e-06
1913,4.92407247303e-06
1914,5.20640227345e-06
1915,5.01727247126e-06
1916,4.41018125841e-06
1917,4.77794133384e-06
1918,4.76080326569e-06
1919,4.75522406399e-06
1920,4.3387915909e-06
1921,4.17644353353e-06
1922,4.02465449767e-06
1923,4.10003284538e-06
1924,4.49767031085e-06
1925,4.68392064098e-06
1926,4.41880043311e-06
1927,4.3699273237e-06
1928,4.27284362914e-06
1929,4.31546055542e-06
1930,4.08225573996e-06
1931,4.07203287504e-06
1932,4.14988552203e-06
1933,4.26662756325e-06
1934,4.12316247515e-06
1935,3.99364971552e-06
1936,3.69329123018e-06
1937,3.76434172604e-06
1938,3.8400990204e-06
1939,4.11530232232e-06
1940,4.07061391172e-06
1941,4.04679326493e-06
1942,3.77512705185e-06
1943,3.76347146395e-06
1944,3.68319188127e-06
1945,3.78386625262e-06
1946,3.84350770825e-06
1947,3.78205226781e-06
1948,3.82324289087e-06
1949,3.54825203885e-06
1950,3.59300076388e-06
1951,3.52696521944e-06
1952,3.51388989965e-06
1953,3.35445713517e-06
1954,3.09047570587e-06
1955,3.11874753341e-06
1956,3.20144094464e-06
1957,3.14369304396e-06
1958,2.98488191675e-06
1959,2.72309539303e-06
1960,2.74801541404e-06
1961,2.6513517426e-06
1962,2.65165750453e-06
1963,2.63674227104e-06
1964,2.54818926907e-06
1965,2.48726187557e-06
1966,2.33658821773e-06
1967,2.43599248151e-06
1968,2.5312340289e-06
1969,2.42858568988e-06
1970,2.37961099655e-06
1971,2.29748383103e-06
1972,2.42116468267e-06
1973,2.36927139715e-06
1974,2.39205911967e-06
1975,2.38086266198e-06
1976,2.4337446014e-06
1977,2.35804716908e-06
1978,2.2911200818e-06
1979,2.37555302007e-06
1980,2.41637408038e-06
1981,2.50123339995e-06
1982,2.51660678548e-06
1983,2.57730320522e-06
1984,2.53556906434e-06
1985,2.43118307234e-06
1986,2.41749096948e-06
1987,2.49561785282e-06
1988,2.51249436782e-06
1989,2.52944289514e-06
1990,2.46962155496e-06
1991,2.51242505437e-06
1992,2.54439305536e-06
1993,2.58068317531e-06
1994,2.57537221652e-06
1995,2.58525904921e-06
1996,2.59565626356e-06
1997,2.58379459221e-06
1998,2.54276330836e-06
1999,2.54731157294e-06
2000,2.50189538657e-06
2001,2.45347467024e-06
2002,2.45945334972e-06
2003,2.55249548076e-06
2004,2.5836520976e-06
2005,2.55394824459e-06
2006,2.52259473636e-06
2007,2.70528726058e-06
2008,2.80953891618e-06
